mz	Intensity	SN	Resolution
94.21998	775572		1399602
94.66055	802800		1078721
95.27834	786349		1602647
95.5159	791133		1524105
95.63933	784444		939479
95.95677	776696		1571890
95.99994	8032459		1264158
96.00003	865359		3727505
96.18095	799009		908762
96.2398	835093		1232609
96.27197	774169		1402794
96.60192	823474		1139227
96.63574	793865		1581541
96.8704	809463		1252190
97.01549	836201		1334619
97.09357	787134		867481
97.10876	796115		1340220
97.25642	790815		1138825
97.29422	777780		1052948
97.30424	799739		1249570
97.331	777503		1400957
97.60471	774080		1239197
97.7622	810807		1650542
97.77212	794569		1105690
97.81781	892966		978031
97.85464	788238		1301177
98.16642	809896		1340170
98.22263	907729		1505443
98.29496	827258		844985
98.31892	860670		954482
98.3679	848084		1332139
98.41154	814317		1427190
98.41376	844597		1314187
98.52949	963045		1378084
98.55541	817048		1556225
98.57284	806674		1301129
98.63823	966725		1321744
98.72327	849025		1337485
98.75817	826273		1412513
98.77445	844914		1249583
98.79542	797408		1218442
98.79603	890444		1284738
98.83358	778997		1075416
98.87737	822156		1449059
98.9096	858663		1054731
98.98744	816626		1332045
99.05666	908135		1045892
99.06731	834712		1016444
99.10242	781082		1297201
99.10261	780742		1195637
99.1231	828381		1433823
99.16876	1041248		1115582
99.26446	836366		883151
99.27163	1018680		1320120
99.32495	811195		1098335
99.34539	824801		1058003
99.41085	825831		1337719
99.46817	776634		1316088
99.47714	961104		1216327
99.49064	813066		1163516
99.57973	785126		1180164
99.59207	876810		1147719
99.59771	942196		1058277
99.61876	815693		974621
99.65387	898298		1301349
99.79216	790588		888298
99.80158	816929		959036
99.80937	819367		1221451
99.81594	930797		1149986
99.83368	868891		1316073
99.83697	807208		1298459
99.86332	813262		1208000
99.97181	912391		842514
99.98593	798441		1393255
99.9996	878889		1164657
100.00515	784898		885413
100.01544	810639		1028510
100.1539	778710		1618836
100.17334	858753		1498824
100.22157	791300		1056112
100.22308	784844		1072497
100.23134	788736		1108012
100.23511	874448		1083555
100.25953	789991		1438761
100.31179	966530		1209319
100.31915	839448		1035310
100.32338	832710		953303
100.40633	829788		1384348
100.4249	776108		1631490
100.44873	866679		1151433
100.46272	786963		1491377
100.49702	885026		1262458
100.5007	932438		1493595
100.50292	789572		1129168
100.51592	869144		1114817
100.51878	779601		1075255
100.53229	844493		1194612
100.53259	879177		1280531
100.55061	974021		1160345
100.55641	866225		1453896
100.58331	774756		1170736
100.6029	875424		1138080
100.6116	826989		1087642
100.66389	846924		1046933
100.70859	823701		1380369
100.73874	841654		1081359
100.74153	857598		1009136
100.75169	873312		1273417
100.76358	816516		1050931
100.7661	818676		765219
100.77974	833363		1490151
100.78207	786581		893461
100.83237	957290		899516
100.83407	795282		1115622
100.88287	896075		876604
100.90215	878549		1237820
100.91042	938296		1300820
100.91865	852184		1186488
100.92057	794946		1172480
100.92378	778068		1470568
100.9549	835909		755671
100.97186	824701		1050633
100.99376	860542		1071300
101.01088	795696		1105155
101.02615	1133706		914750
101.08614	837860		1524239
101.17491	783410		1390267
101.19309	792438		1309889
101.20765	792997		1085291
101.24808	840048		1322774
101.31942	795445		1098329
101.38213	863769		1028849
101.41007	870145		1571428
101.41075	791803		856131
101.43563	781588		978935
101.47052	818015		1152599
101.47539	847643		903092
101.48657	820347		1175143
101.51267	886654		1067289
101.5146	810758		1441699
101.52068	802686		1334987
101.54028	872961		1210167
101.54055	791781		1209829
101.65216	807371		1196425
101.6583	884879		1283945
101.70552	796281		1401088
101.71904	910655		836264
101.72346	790501		1598083
101.72894	822597		1228905
101.75966	894800		985827
101.831	822798		1101545
101.83924	827922		1226306
101.85287	773994		1540383
101.88965	785761		1170773
101.9067	791252		941170
101.91035	858232		1115217
101.91213	775248		1207908
101.96808	901799		1031218
