mz	Intensity	SN	Resolution
93.06991	11490162		1220345
93.49588	5106126		1080968
93.49598	2219335		1667303
94.99782	2004224		1422240
95.08556	25391034		1221312
95.73909	1894243		777265
96.00003	3565171		1274326
97.06483	1996969		1609931
98.63474	2705365		1301223
99.07754	14949776		1143761
99.7652	5699611		1612191
101.05974	2204655		1375104
103.07529	3330244		2083714
103.07539	30063876		1160798
104.07875	1749860		883552
105.06991	5908595		1210981
107.08556	27878492		1134461
107.08567	2486236		2503007
108.08891	2796944		1255740
109.1011	2547203		1886222
109.10121	20933124		1102414
109.70514	1665481		1263767
111.08047	3962861		1060882
117.09104	5632065		820990
118.35719	2023194		1102115
119.08556	4202757		959547
121.06482	2656214		948004
121.10121	40879700		958493
121.10135	3171413		1977528
122.10456	3793731		925704
123.08047	2374518		1014780
123.11685	8748853		946680
125.09611	6400552		966028
125.52588	1736616		1004900
128.62382	42024516		873286
128.62398	5131844		2265806
128.62415	28553796		842456
128.62447	11618372		845754
129.12553	6787662		879300
129.12584	6183758		873755
129.12619	1824718		1114429
131.08556	3817093		854349
131.10669	4289926		795202
131.57982	1669399		861848
131.61861	1816985		985656
131.61892	1698329		774476
132.62639	4317635		814622
132.62675	4037059		842938
133.10121	9629402		886214
133.22628	1803104		954273
135.11671	8216398		1141262
135.11686	40359756		897660
135.11704	3782478		991996
135.6317	4558193		762993
135.63206	4849905		631726
136.12022	4112788		997339
137.09613	1761249		1073670
137.13251	3182308		956636
139.11178	7741082		852964
142.63946	57369152		806350
142.63966	5976638		1618735
142.63987	22391358		776609
142.64027	13082174		749292
143.10673	1962495		597060
143.14118	9401476		780809
143.14138	1705092		2170972
143.14158	14459524		754372
143.14199	3513477		724529
145.10121	4905391		827443
145.12238	5361331		691043
145.88631	1692082		903599
145.89125	1698867		725338
147.11685	7303947		819792
149.02335	97744504		790630
149.05974	1956736		1047803
149.09612	2269959		744974
149.13251	50316944		791185
149.1327	5992079		1108690
149.64739	2474360		683124
149.64771	1809400		939518
149.64788	2021112		652065
149.99778	1735745		896380
150.02671	10357575		808728
150.13586	7534430		771219
150.14949	1830497		818364
151.07538	2683177		830781
151.11177	2177073		868608
151.14815	3858489		841999
152.02955	2433663		657042
153.12743	11529727		701867
154.06113	2792673		838180
157.10121	2152182		707809
157.12227	2109564		712832
157.12243	2211964		693180
158.04487	1722106		653526
159.11685	5576235		774746
159.13802	11269169		651405
161.05973	12521065		735354
161.09612	10721908		749620
161.13251	10802815		739911
162.09947	1762217		892477
162.13587	2021172		547225
162.52807	1964847		463985
162.56024	1741369		858974
162.56618	1968187		624029
163.039	10354896		722903
163.07537	3163868		807935
163.14816	51463412		685278
164.15122	1752630		896493
164.15151	6775350		755205
165.05465	1808479		818191
165.09104	2236779		823211
165.12743	2845560		730118
165.16379	3189892		513890
167.07031	3095563		762973
167.14309	14512676		635264
167.30244	1804635		614550
167.30655	1713372		560217
167.30697	2175453		572254
167.31132	2257502		547857
167.34165	2311529		800637
167.34288	1740905		786101
167.34321	1779305		562576
167.34426	1842793		663210
167.34607	1822314		627103
167.34774	1934699		559140
171.11685	2191286		806914
171.13806	5044670		587023
171.97204	1748213		883423
172.11562	1730219		628626
172.37647	1814030		537167
172.41767	1673629		712880
172.41848	1843869		689482
173.13249	7616173		658930
173.15332	2977717		692671
173.15368	27038390		592879
174.13112	10456110		682383
174.15702	3846200		638455
175.11175	3839406		748649
175.13448	1731254		934259
175.14814	20307388		670678
176.1515	2700106		768355
177.05461	1868724		818290
177.09101	2768579		775768
177.11226	2637003		538597
177.1638	56064224		613067
178.16715	7512696		614519
179.07033	4709355		521235
179.10668	3224570		644624
179.14306	3043337		585031
179.17941	1985048		590276
181.08593	1897014		719569
181.12233	2291013		712905
181.15826	2034004		1094656
181.15873	20467540		527178
182.16208	2596095		519707
183.08048	2175113		606744
183.10159	1841810		638124
185.1325	1878021		730374
185.15362	3795470		599573
185.15382	3830798		645130
186.13584	1677247		679269
187.11173	1791088		758693
187.14814	7001472		628719
187.16934	42588552		464204
188.17268	6065483		449505
189.12741	3022585		561944
189.16379	13389065		566874
191.14306	2583695		633579
191.17945	36319392		517420
192.1828	5069933		519089
193.12236	1897247		463151
193.15873	4707376		399774
195.06524	1745319		721584
195.17441	16807898		413168
196.17781	2538161		499113
197.15392	1780092		727913
199.08263	1788685		602698
199.16921	2724663		575208
199.16956	3418935		672181
201.18506	56550136		504268
202.18841	7589079		468242
203.10666	3214991		643170
203.10696	1725839		886514
203.17948	5149362		613505
205.08593	3146310		623632
205.08622	3177542		534135
205.15871	2149993		802439
205.19456	2805882		621967
205.19473	3558010		1164994
205.19514	19962490		501042
206.10324	7325743		455600
206.19853	4010077		563533
207.13801	2090018		647157
207.17453	4283443		411424
208.09216	39161836		598578
208.09254	5984238		651743
209.09551	3934673		624419
209.1537	2832877		536822
209.18944	2310142		499257
209.19013	18584062		410344
210.08803	2061743		436883
210.08921	14046128		587372
210.1935	2792162		414626
